setting,n,truth,crit,n_ok,Cox,AM,Flex,correct
1,2000,Cox,BIC,92,0.8695652173913043,0.0,0.13043478260869565,0.8695652173913043
1,2000,Cox,AIC,92,0.010869565217391304,0.0,0.9891304347826086,0.010869565217391304
2,2000,AM,BIC,98,0.0,1.0,0.0,1.0
2,2000,AM,AIC,98,0.0,0.8979591836734694,0.10204081632653061,0.8979591836734694
4,2000,Flex,BIC,96,0.0,0.0,1.0,1.0
4,2000,Flex,AIC,96,0.0,0.0,1.0,1.0
